CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,name_clean,zip_clean,address_raw_ins,address_clean_ins,yelp_id,name,rating,review_count,price,categories,address1,city,state,postal_code,latitude,longitude,url,address_raw_yelp,address_clean_yelp,name_clean_ins,address_clean,name_clean_yelp
50118276,iPizzaNY,Manhattan,658,9 AVENUE,10036,9176757587,Pizza,9/29/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31.0,C,9/29/2025,11/26/2025,Cycle Inspection / Re-inspection,40.76084056,-73.99085285,104.0,3.0,12100.0,1025029.0,1010360061.0,MN15,POINT (-73.990852853086 40.76084055745),IPIZZANY,10036,658 9 AVENUE,658 9 AVENUE,KMA2hqRAcjHa3QMJ5ynz0g,iPizzaNY,4.0,30,,Pizza,656 9th Ave,New York,NY,10036,40.76077,-73.99071,https://www.yelp.com/biz/ipizzany-new-york-8?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,656 9th Ave,656 9TH AVE,,,
50160867,TOKA CHEF KITCHEN,Manhattan,201,ALLEN STREET,10002,3474592184,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.72252349,-73.98881979,103.0,1.0,3601.0,1005543.0,1004170019.0,MN27,POINT (-73.988819791819 40.722523488929),TOKA CHEF KITCHEN,10002,201 ALLEN STREET,201 ALLEN STREET,6PWU09z5Qi_g9blhfvphPQ,Toka Chef Kitchen,4.6,67,,Japanese,201 Allen St,New York,NY,10002,40.72269100220717,-73.9890599,https://www.yelp.com/biz/toka-chef-kitchen-new-york-3?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,201 Allen St,201 ALLEN ST,,,
50144218,KAZUMI OMAKASE,Manhattan,31,WEST    8 STREET,10011,2128492722,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.73284433,-73.99773763,102.0,3.0,6300.0,1009442.0,1005720059.0,MN23,POINT (-73.997737631347 40.73284433139),KAZUMI OMAKASE,10011,31 WEST    8 STREET,31 WEST 8 STREET,MyeqH3zaEX5ZZH8B5hsQiA,Kazumi Omakase,4.8,71,,"Sushi Bars, Japanese",31 W 8th St,New York,NY,10011,40.733053,-73.997874,https://www.yelp.com/biz/kazumi-omakase-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,31 W 8th St,31 W 8TH ST,,,
50168216,TAQUERIA CONDESA,Manhattan,824,9 AVENUE,10019,3472676360,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.76611836,-73.98701103,104.0,3.0,13900.0,1025403.0,1010450001.0,MN15,POINT (-73.987011028894 40.766118355934),TAQUERIA CONDESA,10019,824 9 AVENUE,824 9 AVENUE,PdgBIfbj6rRy4LpJJUTsHw,Taqueria Condesa,4.1,14,,"Mexican, Cocktail Bars",824 9th Ave,New York,NY,10019,40.76602244043192,-73.9868346,https://www.yelp.com/biz/taqueria-condesa-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,824 9th Ave,824 9TH AVE,,,
50163886,VERDELLO,Manhattan,994,COLUMBUS AVENUE,10025,2126652970,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.80107531,-73.96153628,107.0,7.0,19300.0,1079465.0,1018630029.0,MN09,POINT (-73.961536276891 40.801075306145),VERDELLO,10025,994 COLUMBUS AVENUE,994 COLUMBUS AVENUE,qDuUJE8IFcFcRPFx3iqgBg,Verdello,5.0,6,,"Italian, Pizza, Wine Bars",994 Columbus Ave,New York,NY,10025,40.801204,-73.961758,https://www.yelp.com/biz/verdello-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,994 Columbus Ave,994 COLUMBUS AVE,,,
50165225,CHINA KING,Manhattan,2026,LEXINGTON AVENUE,10035,2128766688,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.80325271,-73.93824796,111.0,9.0,19600.0,1054448.0,1017720055.0,MN34,POINT (-73.938247963451 40.80325270831),CHINA KING,10035,2026 LEXINGTON AVENUE,2026 LEXINGTON AVENUE,gABJfl51T0QXitBlXlVB4g,China King,4.5,17,,Chinese,2026 Lexington Ave,New York,NY,10035,40.80339,-73.93832,https://www.yelp.com/biz/china-king-new-york-4?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,2026 Lexington Ave,2026 LEXINGTON AVE,,,
50154813,KAPPO SONO,Manhattan,39,EAST   13 STREET,10003,6468995891,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.73439486,-73.99193178,102.0,2.0,6100.0,1009213.0,1005650002.0,MN23,POINT (-73.991931779136 40.734394861981),KAPPO SONO,10003,39 EAST   13 STREET,39 EAST 13 STREET,kJ0CnF7Blcf_jr63ufjRgw,Kappo Sono,4.7,6,,"Japanese, Desserts, Sushi Bars",39 E 13th St,New York,NY,10003,40.734498,-73.991873,https://www.yelp.com/biz/kappo-sono-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,39 E 13th St,39 E 13TH ST,,,
50176619,TRADISYON,Manhattan,135,WEST   50 STREET,10020,3107539410,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.76036734,-73.98153257,105.0,4.0,13100.0,1022708.0,1010030005.0,MN17,POINT (-73.981532569014 40.760367337647),TRADISYON,10020,135 WEST   50 STREET,135 WEST 50 STREET,RxdqYcomyk1tXZcvIl098g,Tradisyon,4.0,46,,"Filipino, Desserts, Breakfast & Brunch",135 W 50th St,New York,NY,10020,40.7612515974634,-73.9825149441802,https://www.yelp.com/biz/tradisyon-new-york-3?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,135 W 50th St,135 W 50TH ST,,,
50179225,TACOS DEL BARRIO,Manhattan,71,NASSAU STREET,10038,3475825832,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.70963155,-74.00832491,101.0,1.0,1502.0,1001215.0,1000797503.0,MN25,POINT (-74.008324914688 40.709631554613),TACOS DEL BARRIO,10038,71 NASSAU STREET,71 NASSAU STREET,LGF4I6iNB2xADhQKGQbOPQ,Tacos Del Barrio,4.0,4,,Mexican,71 Nassau St,New York,NY,10038,40.709715,-74.008407,https://www.yelp.com/biz/tacos-del-barrio-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,71 Nassau St,71 NASSAU ST,,,
50171377,UKA OMAKASE,Manhattan,238,EAST   60 STREET,10022,6462865436,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.76176611,-73.96518693,108.0,5.0,11000.0,1043350.0,1014140032.0,MN31,POINT (-73.965186930704 40.761766114762),UKA OMAKASE,10022,238 EAST   60 STREET,238 EAST 60 STREET,8H9B5dcQVu4KvXAaJbz-AQ,Uka Omakase,4.5,73,,"Sushi Bars, Japanese",238 E 60th St,New York,NY,10022,40.76142,-73.964752,https://www.yelp.com/biz/uka-omakase-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,238 E 60th St,238 E 60TH ST,,,
